bank,date_dt,mean_stance,disagreement,disagreement_pred,bnd_uncertainty,sign_conflict_rate,n_turns,is_test,model_choice_spread
Fed,2020-03-15,-0.35,0.22167605132909615,0.08200034863056185,0.5496320802721362,0.0,20,0,0.16072751268321592
Fed,2020-04-29,-0.53125,0.15826547194518686,0.08197158221621008,0.6851354384364371,0.0,16,0,0.11267347735824966
Fed,2020-06-10,-0.5444444444444444,0.26691013812760145,0.08615192709906713,0.6799202835913752,0.0,15,0,0.17391639824998362
Fed,2020-07-29,-0.3409090909090909,0.1423170034392753,0.08965932950879318,0.601692814131035,0.0,22,0,0.05719571541871782
Fed,2020-09-16,-0.41333333333333333,0.19977456227655527,0.08574719828029907,0.5951575206178495,0.0,25,0,0.12364824660660938
Fed,2020-11-05,-0.3508771929824562,0.19882123913804842,0.09388122207784524,0.6145890045788334,0.0,19,1,0.13128622409733126
Fed,2020-12-16,-0.30434782608695654,0.11992591649626486,0.08181278844931597,0.4574500903842786,0.0,23,0,0.0832545311092468
Fed,2021-01-27,-0.3508771929824562,0.16730931679378175,0.06719902549288237,0.6798210005900396,0.0,19,1,0.08945648269461026
Fed,2021-03-17,-0.2,0.10829889993163286,0.08788490263518021,0.6750893058626752,0.0,25,1,0.061101009266077866
Fed,2021-04-28,-0.22,0.2361850889646345,0.08841144561602755,0.5376695728592157,0.12,25,0,0.10519822558706333
Fed,2021-06-16,0.05072463768115942,0.2593812425089093,0.08099868353707967,0.7152659605906817,0.0,23,0,0.09194621406122841
Fed,2021-07-28,-0.1590909090909091,0.2222395525035522,0.09196263435784718,0.6408548755876826,0.0,22,0,0.12517205789286595
Fed,2021-09-22,0.011904761904761906,0.1624882284781141,0.07563533133533205,0.4778492339591733,0.14285714285714285,28,0,0.0789672569132238
Fed,2021-11-03,0.02666666666666667,0.17540959350576413,0.1034589503506346,0.49492565981769693,0.16,25,0,0.07888106377466154
Fed,2021-12-15,0.30357142857142855,0.13844035957728523,0.09300529377547566,0.6243303515134563,0.0,28,0,0.06760605173571754
Fed,2022-01-26,0.4444444444444445,0.16350100126580586,0.1124183376835466,0.6229701774924943,0.047619047619047616,21,0,0.10163689265766426
Fed,2022-03-16,0.6481481481481481,0.04140866624999611,0.07486395054708328,0.5857477682069614,0.0,27,1,0.04140866624999608
Fed,2022-05-04,0.6574074074074074,0.2305711966596047,0.10793717733786024,0.5757947594624974,0.05555555555555555,18,0,0.16794775136312087
Fed,2022-06-15,0.4691358024691358,0.18709463019747474,0.08514337518930325,0.7158334500831692,0.0,27,1,0.08987789986766073
Fed,2022-07-27,0.3154761904761905,0.1596869683613141,0.0835023038808679,0.631690011870944,0.03571428571428571,28,0,0.08605257318333903
Fed,2022-09-21,0.5606060606060607,0.1074268173295375,0.07171860964515146,0.48266726945055555,0.045454545454545456,22,0,0.07725787141807249
Fed,2022-11-02,0.4930555555555555,0.18646069136271057,0.08132949987271745,0.5406649479888391,0.0,24,0,0.11132791348528748
Fed,2022-12-14,0.393939393939394,0.20570599597701864,0.09049608363919885,0.5745758134671832,0.13636363636363635,22,1,0.10050378152592121
Fed,2023-02-01,0.29310344827586204,0.19890743202147515,0.09062458868297817,0.5976390393857361,0.06896551724137931,29,0,0.10674813575291212
Fed,2023-03-22,0.1717171717171717,0.1347412458635177,0.07846950869530267,0.4909364306746128,0.0,33,0,0.037794519058322644
Fed,2023-05-03,0.125,0.1957306673871821,0.09802472928632375,0.56297050975489,0.15625,32,1,0.07216878364870322
Fed,2023-06-14,0.18452380952380953,0.18156540522874248,0.08282466229164691,0.5288591748157183,0.10714285714285714,28,1,0.06327467745675386
Fed,2023-07-26,0.16216216216216217,0.1986374126614102,0.06122275513849394,0.5421000656494863,0.10810810810810811,37,0,0.05175281663547774
Fed,2023-09-20,0.1774193548387097,0.16203095277815643,0.08903539455543698,0.60642158872314,0.06451612903225806,31,0,0.040590507716509405
Fed,2023-11-01,0.19892473118279572,0.16580686328151706,0.07828939784215055,0.5761792890634618,0.03225806451612903,31,0,0.06821815881962108
Fed,2023-12-13,-0.05,0.165363318707038,0.08566066665719883,0.6138309803099943,0.06666666666666667,30,0,0.041943524640393054
Fed,2024-01-31,0.046296296296296294,0.16240764835855842,0.07338181844595536,0.6452544732185932,0.08333333333333333,36,0,0.049862637103097254
Fed,2024-03-20,-0.053921568627450976,0.1633595977676507,0.08692372070650622,0.5504462006672294,0.029411764705882353,34,0,0.04624500554929708
